Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
166,C-0939,293D107X9020D2TE3,Kemet,,Capacitor,CAP TANT 100UF 20V 10% 2917,"",0.0001,100u,2,each,false,true,"",A,Active,Initial Description,"",,USD,,,,
167,C-0453,T520D337M006ATE025,Kemet,,Capacitor,CAP TANT 330UF 6.3V 20% 2917,"",0.00033,330u,2,each,false,true,"",A,Active,"","",0.714,USD,,,,
168,QG-0021,SiT5155AI-FK-33E0-10.000000X,SiTIME,,Oscillator,TCXO 10MHz 0.5ppm 15pF SMD,SiT5155AI-FK-33E0-10.000000X,"","",1,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
169,Q-0041,BCP5216TA,Diodes Inc.,,Transistor,TRANSISTOR BIPOLAR 125MHz 2000mW 1A 60V SOT-223-4,"","","",1,each,false,true,"",A,Active,Initial Revision,"",0.09,USD,,,,
170,D-0113,PESD0402-140,Littelfuse,,Diode,"TVS Diode, 0.25pF, 0402, 14VWM, 40VC","","","",9,each,true,true,"",1,Active,"","",,USD,,,,
171,D-0110,SMBJ15A,Bourns,,Diode,DIODE TVS 15V 24.6A 5W SMB (DO-214AA-2),"","","",1,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
172,D-0082,SP3130-01ETG,Littlefuse,,Diode,DIODE TVS ESD Suppressor 28V SOD8820,"","","",4,each,false,true,"",A,Active,Initial Revision,"",0.096,USD,,,,
173,L-0313,0805USB-902MLB,Coilcraft,,Inductor,"CHOKE CMC USB 2.0, 413 nH, 400mA DCR 650mOhm, SMT",0805USB-902MLB,4.13e-07,413n,2,each,false,true,"",A,Active,"","",,USD,,,,
174,J-0446,KUSBVLPXHT-AS1N-O30-HRF,Kycon,,Connector,CONN USB TYPE A VERTICAL HIGH RETENTION,"","","",1,each,false,true,"",A,Active,"","",,USD,,,,
175,U-0347,FT4232HL,FTDI,,IC,IC USB HS QUAD UART/SYNC 64-LQFP,FT4232HL,"","",1,each,false,true,"",A,Active,"","",,USD,,,,
176,U-0644,LDFPVR,ST Microelectronics,,IC,Adjustable LDO 1A QFN-6,LDFPVR,"","",2,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
177,U-0379,PCA9306DCUT,Texas Instruments,,IC,IC VOLT-LEVEL TRANSLATOR US8,PCA9306DCUT,"","",1,each,false,true,"",A,Active,"","",,USD,,,,
178,U-0647,LM25117PSQE/NOPB,TI,,IC,IC SWITCHING POWER SUPPLY 4.5-45VIN 4.5-14VOUT ,LM25117PSQE/NOPB,"","",1,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
185,SUB-0123,SUB-0123,"FlexRadio, Inc.",,Subassembly,Raspberry Pi and Heat Sink ASSY,"","","",1,each,true,unknown,"",B,Active,Move to new Pi with no WiFi,"",,USD,,,,
192,PC-0151,PC-0151,"FlexRadio, Inc.",,PCB,BIGBEND CPU,"","","",1,each,true,true,"",G,Active,Fix open ECOs for production,"",,USD,,,,
