Item Number,Partnumber,Manufacturer P/N,Manufacturer Name,Manufacturer Family,Part Type,Description,Comment,Value (Numeric),Value (Text),Quantity,Unit of Measure,Manufactured here,RoHS Status,Build Sequence,Revision Name,Revision Status,Revision Reason,Preferred Vendor,Standard Cost,Standard Cost Currency,Standard Lead Time,Standard Cost Minimum,Standard Cost Multiple,Standard Cost Comment
66,U-0648,MCP1727T-5002E/MF,Microchip,,IC,LDO Voltage Regulators 1.5A CMOS LDO 5.0V DFN8,MCP1727T-5002E/MF,"","",2,each,true,true,"",A,Active,Initial Revision,"",,USD,,,,
67,Y-0041,ECS-.327-7-34R-TR,ECS,,Crystal,CRYSTAL 32.768 KHZ SMD 7pF 20ppm,32.768kHz,32768.0,32.768k,1,each,false,true,"",1,Active,"","",,USD,,,,
68,U-0375,PCA9544APWR,Texas Instruments,,IC,IC I2C MUX 4CH BI-DIR 20-TSSOP,PCA9544APWR,"","",1,each,false,true,"",A,Active,"","",,USD,,,,
69,U-0672,TPD4E001RDBVR,Texas Instruments,,IC,IC ESD-PROT ARRAY 4CH SOT-23,"","","",11,each,false,true,"",-,Active,"","",0.276,USD,,,,
70,H-0705,9774060151,Wurth Elektronik,,Hardware,"M2.5 Threaded Soldered Spacer, 6.0mm Height, 5.1 Outside Diameter, 3.7mm Hole, Non-Plated","","","",2,each,true,true,"",1,Active,"","",,USD,,,,
71,J-0370,105133-0011,Molex,,Connector,"Micro-B USB Vertical Type, -30 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel","","","",1,each,false,true,"",A,Active,Initial Revision,"",,USD,,,,
72,C-0635,C0402C104K3RACTU,Kemet,,Capacitor,CAP MLCC 0.1uF 25V X7R 0402 10%,"",1.0e-07,0.1u,215,each,false,true,"",A,Active,Initial Revision,"",0.058,USD,,,,
73,C-0619,C0603C474K3RACTU,Kemet,,Capacitor,CAP MLCC 0.47 uF 25V X7R 0603,"",4.7e-07,0.47u,2,each,false,true,"",A,Active,Initial Revision,"",0.054,USD,,,,
74,C-0339,C0402C102K3RACTU,Kemet,,Capacitor,CAP CER 1000PF 25V 10% X7R 0402,"","","",1,each,false,true,"",A,Active,"","",0.006,USD,,,,
75,C-0561,C0402C103K3RACTU,Kemet,,Capacitor,MLCC - SMD/SMT 25V 0.01uF X7R 0402 10%,"",1.0e-08,0.01u,24,each,false,true,"",A,Active,"","",0.007,USD,,,,
